iter,move,obj,temp,accepted,detail,elapsed
34,swap,47.560128734275054,0.95,0,revert 6->17,0.07586559990886599
35,swap,47.560128734275054,0.95,0,revert 6->10,0.07769489998463541
36,swap,47.560128734275054,0.95,0,revert 12->18,0.07951959990896285
37,swap,47.560128734275054,0.95,0,revert 6->0,0.08272099995519966
38,swap,47.560128734275054,0.95,0,revert 8->14,0.08458949998021126
39,swap,47.560128734275054,0.95,0,revert 6->16,0.08642019995022565
40,swap,47.560128734275054,0.95,0,revert 8->15,0.08822399994824082
41,swap,47.560128734275054,0.9025,0,revert 6->4,0.09060909994877875
42,swap,47.560128734275054,0.9025,0,revert 19->2,0.09287049993872643
43,swap,47.556342617632815,0.9025,1,19->10,0.09437029995024204
44,swap,47.556342617632815,0.9025,0,revert 10->1,0.09657129994593561
45,swap,47.556342617632815,0.9025,0,revert 10->4,0.098911999957636
46,swap,47.55615259521881,0.9025,1,8->16,0.10015079996082932
47,swap,47.55615259521881,0.9025,0,revert 16->3,0.10200229997280985
48,swap,47.55615259521881,0.9025,0,revert 10->7,0.10382159997243434
49,swap,47.55615259521881,0.9025,0,revert 12->9,0.10605810000561178
50,swap,47.55615259521881,0.9025,0,revert 12->4,0.10815400001592934
51,swap,45.203418261234305,0.9025,1,6->19,0.10962050000671297
52,swap,45.203418261234305,0.9025,0,revert 16->8,0.11172339995391667
53,swap,45.203418261234305,0.9025,0,revert 10->17,0.11360729997977614
54,swap,45.203418261234305,0.9025,0,revert 10->18,0.11610149999614805
55,swap,45.203418261234305,0.9025,0,revert 10->11,0.11931969993747771
56,swap,45.203758136934525,0.9025,1,19->17,0.12049609993118793
57,swap,45.203758136934525,0.9025,0,revert 16->9,0.12281039997469634
58,swap,45.19989497995484,0.9025,1,17->9,0.12398349994327873
59,swap,47.558091530144225,0.9025,1,9->14,0.12514669995289296
60,swap,47.558091530144225,0.9025,0,revert 14->1,0.12698880000971258
61,swap,47.558091530144225,0.8573749999999999,0,revert 14->0,0.12883840000722557
62,swap,47.558091530144225,0.8573749999999999,0,revert 12->8,0.13071739999577403
63,swap,47.558091530144225,0.8573749999999999,0,revert 12->2,0.13435469998512417
64,swap,47.558091530144225,0.8573749999999999,0,revert 12->4,0.13764249999076128
65,swap,47.558091530144225,0.8573749999999999,0,revert 12->4,0.14088259998243302
66,swap,47.558091530144225,0.8573749999999999,0,revert 12->13,0.14405010000336915
67,swap,47.558091530144225,0.8573749999999999,0,revert 14->11,0.14635619998443872
68,swap,47.558091530144225,0.8573749999999999,0,revert 14->11,0.14829109993297607
69,swap,47.558091530144225,0.8573749999999999,0,revert 10->19,0.1514982000226155
70,swap,47.55819122604928,0.8573749999999999,1,14->4,0.1535378999542445
71,swap,47.558091530144225,0.8573749999999999,1,4->14,0.15526379994116724
72,swap,47.558091530144225,0.8573749999999999,0,revert 10->7,0.15714599995408207
73,swap,47.558091530144225,0.8573749999999999,0,revert 12->1,0.15898389997892082
74,swap,47.558091530144225,0.8573749999999999,0,revert 10->9,0.16081289993599057
75,swap,44.209795464746705,0.8573749999999999,1,12->17,0.16194429993629456
76,swap,44.209795464746705,0.8573749999999999,0,revert 17->6,0.16406550002284348
77,swap,44.209795464746705,0.8573749999999999,0,revert 16->4,0.16679569997359067
78,swap,44.209795464746705,0.8573749999999999,0,revert 10->11,0.16947780002374202
79,swap,45.2004292040186,0.8573749999999999,1,14->19,0.17062639992218465
80,swap,45.2004292040186,0.8573749999999999,0,revert 16->12,0.17245690000709146
81,swap,45.2004292040186,0.8145062499999999,0,revert 10->13,0.17429120000451803
82,swap,45.2004292040186,0.8145062499999999,0,revert 16->11,0.17612889991141856
83,swap,45.2004292040186,0.8145062499999999,0,revert 10->8,0.1779431999893859
84,swap,45.2004292040186,0.8145062499999999,0,revert 17->13,0.1800322999479249
85,swap,45.2004292040186,0.8145062499999999,0,revert 10->13,0.182324199937284
86,swap,45.2004292040186,0.8145062499999999,0,revert 10->15,0.18436289997771382
87,swap,45.2004292040186,0.8145062499999999,0,revert 10->12,0.1861975999781862
