filename,file,lineno,function,ncalls,tottime_s,cumtime_s,tottime_%,cumtime_%_vs_total_tottime,group
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\pyomoobject.py,pyomoobject.py,35,is_variable_type,1460,0.0001145,0.0001145,0.000185913,0.000185913,pyomo internals
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\relational_expr.py,relational_expr.py,290,nargs,1325,0.0001145,0.0001145,0.000185913,0.000185913,other
c:\Users\asus\miniconda3\envs\evcs\Lib\inspect.py,inspect.py,402,isgeneratorfunction,14,3.74E-05,0.0001119,6.07E-05,0.000181692,other
~,~,0,<built-in method io.open>,6,0.0001088,0.0001116,0.000176658,0.000181204,other
c:\Users\asus\miniconda3\envs\evcs\Lib\enum.py,enum.py,1095,__new__,284,9.81E-05,0.0001108,0.000159285,0.000179905,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\tee.py,tee.py,667,STDERR,6,4.10E-06,0.0001091,6.66E-06,0.000177145,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\base.py,base.py,125,__init__,2,1.64E-05,0.0001085,2.66E-05,0.000176171,other
~,~,0,<built-in method math.hypot>,590,0.0001077,0.0001077,0.000174872,0.000174872,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,489,is_fixed,1023,0.0001067,0.0001067,0.000173248,0.000173248,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\constraint.py,constraint.py,253,_evaluate_bound,530,0.0001008,0.000104,0.000163669,0.000168864,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\block.py,block.py,2178,construct,2,2.23E-05,0.0001037,3.62E-05,0.000168377,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,587,__new__,122,8.25E-05,0.000103,0.000133955,0.000167241,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\constraint.py,constraint.py,827,__init__,2,4.40E-06,0.000102,7.14E-06,0.000165617,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\objective.py,objective.py,274,__new__,63,7.69E-05,9.97E-05,0.000124862,0.000161882,other
~,~,0,<built-in method _thread.start_new_thread>,2,9.93E-05,9.93E-05,0.000161233,0.000161233,other
~,~,0,<built-in method _thread.get_ident>,425,9.83E-05,9.83E-05,0.000159609,0.000159609,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,2512,_neg_param,100,6.41E-05,9.82E-05,0.000104079,0.000159447,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\param.py,param.py,940,__init__,4,1.26E-05,9.70E-05,2.05E-05,0.000157498,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\component.py,component.py,682,_pop_from_kwargs,34,3.68E-05,9.68E-05,5.98E-05,0.000157174,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\config.py,config.py,1995,set_value,44,3.63E-05,9.53E-05,5.89E-05,0.000154738,pyomo internals
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,497,is_variable_type,1287,9.53E-05,9.53E-05,0.000154738,0.000154738,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\indexed_component.py,indexed_component.py,409,__len__,244,7.09E-05,9.49E-05,0.00011512,0.000154089,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\block.py,block.py,1744,_prefix_dfs_iterator,8,2.40E-05,9.32E-05,3.90E-05,0.000151328,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\var.py,var.py,610,__init__,4,2.59E-05,9.28E-05,4.21E-05,0.000150679,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\collections\component_map.py,component_map.py,43,_unhashable,325,7.21E-05,9.19E-05,0.000117068,0.000149218,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\block.py,block.py,269,__init__,10,3.62E-05,9.11E-05,5.88E-05,0.000147919,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\highspy\highs.py,highs.py,1508,fire,18,6.60E-05,9.09E-05,0.000107164,0.000147594,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\log.py,log.py,60,is_debug_set,64,5.50E-05,9.05E-05,8.93E-05,0.000146944,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\config.py,config.py,2534,declare,42,4.24E-05,8.84E-05,6.88E-05,0.000143535,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\config.py,config.py,2349,__init__,4,1.58E-05,8.62E-05,2.57E-05,0.000139963,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,1938,_add_var_other,100,4.00E-05,8.59E-05,6.49E-05,0.000139475,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\PyomoModel.py,PyomoModel.py,162,__getstate__,59,8.37E-05,8.37E-05,0.000135903,0.000135903,pyomo internals
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pandas\core\internals\managers.py,managers.py,2276,_merge_blocks,3,4.58E-05,8.37E-05,7.44E-05,0.000135903,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\initializer.py,initializer.py,625,__new__,63,7.40E-05,8.26E-05,0.000120153,0.000134117,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\config.py,config.py,771,<genexpr>,88,4.72E-05,8.18E-05,7.66E-05,0.000132818,other
~,~,0,<built-in method builtins.setattr>,361,6.29E-05,8.01E-05,0.00010213,0.000130058,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pandas\core\internals\managers.py,managers.py,2190,_form_blocks,1,3.11E-05,7.91E-05,5.05E-05,0.000128434,other
~,~,0,<method 'replace' of 'str' objects>,697,7.58E-05,7.58E-05,0.000123076,0.000123076,other
~,~,0,<method 'remove' of 'list' objects>,95,7.51E-05,7.51E-05,0.00012194,0.00012194,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\indexed_component.py,indexed_component.py,526,values,6,1.47E-05,7.51E-05,2.39E-05,0.00012194,other
C:\Users\asus\OneDrive\EV-projects\evcs-projects\src\evcs\methods.py,methods.py,87,<lambda>,336,7.46E-05,7.46E-05,0.000121128,0.000121128,your code (other)
c:\Users\asus\miniconda3\envs\evcs\Lib\inspect.py,inspect.py,391,_has_code_flag,14,3.88E-05,7.45E-05,6.30E-05,0.000120965,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\tee.py,tee.py,528,close,4,2.27E-05,7.22E-05,3.69E-05,0.000117231,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\collections\component_map.py,component_map.py,118,__setitem__,132,4.61E-05,7.20E-05,7.49E-05,0.000116906,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\timing.py,timing.py,131,report,32,3.30E-05,6.90E-05,5.36E-05,0.000112035,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\utils\collect_vars_and_named_exprs.py,collect_vars_and_named_exprs.py,23,visit,1010,6.87E-05,6.87E-05,0.000111548,0.000111548,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\component.py,component.py,447,__init__,34,5.00E-05,6.72E-05,8.12E-05,0.000109112,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\collections\component_map.py,component_map.py,111,__getitem__,132,4.12E-05,6.70E-05,6.69E-05,0.000108788,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\repn\standard_repn.py,standard_repn.py,552,<listcomp>,92,6.63E-05,6.63E-05,0.000107651,0.000107651,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\base.py,base.py,325,is_named_expression_type,1010,6.58E-05,6.58E-05,0.000106839,0.000106839,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\utils\get_objective.py,get_objective.py,15,get_objective,1,2.10E-06,6.50E-05,3.41E-06,0.00010554,other
~,~,0,<built-in method highspy._core.addRows>,1,6.38E-05,6.38E-05,0.000103592,0.000103592,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\relational_expr.py,relational_expr.py,84,__init__,530,6.37E-05,6.37E-05,0.000103429,0.000103429,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\block.py,block.py,1602,component_objects,4,1.32E-05,6.16E-05,2.14E-05,0.00010002,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\relational_expr.py,relational_expr.py,305,strict,530,6.03E-05,6.03E-05,9.79E-05,9.79E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,419,__ge__,40,1.90E-05,6.00E-05,3.09E-05,9.74E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\inspect.py,inspect.py,2669,__init__,18,3.70E-05,5.99E-05,6.01E-05,9.73E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\set.py,set.py,134,process_setarg,24,2.21E-05,5.98E-05,3.59E-05,9.71E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\contrib\appsi\base.py,base.py,1136,<listcomp>,1,1.10E-06,5.91E-05,1.79E-06,9.60E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\config.py,config.py,1992,_setter,44,2.57E-05,5.90E-05,4.17E-05,9.58E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pandas\core\dtypes\cast.py,cast.py,1589,construct_1d_object_array_from_listlike,7,4.17E-05,5.81E-05,6.77E-05,9.43E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\repn\standard_repn.py,standard_repn.py,453,__init__,256,5.73E-05,5.73E-05,9.30E-05,9.30E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\component.py,component.py,683,<listcomp>,34,2.68E-05,5.73E-05,4.35E-05,9.30E-05,other
~,~,0,<method 'lower' of 'str' objects>,123,5.70E-05,5.70E-05,9.26E-05,9.26E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\ipykernel\ipkernel.py,ipkernel.py,774,init_closure,2,8.00E-06,5.64E-05,1.30E-05,9.16E-05,other
~,~,0,<built-in method time.perf_counter>,200,5.52E-05,5.52E-05,8.96E-05,8.96E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\threading.py,threading.py,562,__init__,6,1.31E-05,5.47E-05,2.13E-05,8.88E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\component.py,component.py,921,is_indexed,460,5.39E-05,5.39E-05,8.75E-05,8.75E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\logging\__init__.py,__init__.py,1076,__init__,2,4.30E-06,5.26E-05,6.98E-06,8.54E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\expr\numeric_expr.py,numeric_expr.py,468,__mul__,40,1.81E-05,5.26E-05,2.94E-05,8.54E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\core\base\constraint.py,constraint.py,302,lower,20,1.52E-05,5.24E-05,2.47E-05,8.51E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\copy.py,copy.py,182,_deepcopy_atomic,649,5.19E-05,5.19E-05,8.43E-05,8.43E-05,other
c:\Users\asus\miniconda3\envs\evcs\Lib\site-packages\pyomo\common\config.py,config.py,1987,value,279,5.17E-05,5.17E-05,8.39E-05,8.39E-05,other
